Date,Headline,BERT_Sentiment,Sentiment_score
2016-01-28,"april gold down 20 cents to settle at $1,116.10/oz",negative,-1
2017-09-13,gold suffers third straight daily decline,negative,-1
2016-07-26,Gold futures edge up after two-session decline,positive,1
2018-02-28,dent research : is gold's day in the sun coming soon?,neutral,0
2017-09-06,"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",positive,1
2016-08-16,"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",positive,1
2013-09-24,"gold falls by rs 25 on sluggish demand, global cues",negative,-1
2016-09-23,"Gold futures fall for the session, but gain for the week",negative,-1
2012-10-21,"Gold struggles; silver slides, base metals falter",negative,-1
2018-03-16,"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",positive,1
2009-02-04,"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",positive,1
2017-07-28,"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",positive,1
2011-10-31,"gold loses 1.3%, but logs monthly gain of 6.3%",negative,-1
2013-09-21,gold recovery? here's one way to play it,neutral,0
2017-09-22,"gold prices rebound rs 350 on global cues, weak rupee",negative,-1
2016-05-11,"can investment in gold, sensex & ppfs give the same returns?",neutral,0
2013-05-14,gold rush spooks economy as trade deficit surges to $17.8 bn,negative,-1
2018-09-04,"Gold futures down at Rs 30,244 ",negative,-1
2018-09-04,"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",positive,1
2016-12-09,gold prices slip lower as dollar remains supported,negative,-1
2017-02-03,gold to trade in 28670-29160 range: achiievers equities,neutral,0
2015-06-19,"Gold holds firm near $1,200 on dovish Fed",negative,-1
2017-09-25,Gold prices finish at a more than one-week high,negative,-1
2018-02-28,india : is gold a good investment in a volatile market?,neutral,0
2012-12-13,gold futures down over $20/oz ahead of settlement,negative,-1
2017-01-30,"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",positive,1
2006-03-15,april gold up $1.40 to end the day at $554.40/oz in ny,positive,1
2011-11-01,"Gold, Silver may trade lower today: Angel Commodities",negative,-1
2017-10-26,"KAZ Minerals lifts copper, gold guidance",neutral,0
2017-02-28,Gold little-changed after data,neutral,0
2017-11-27,germany : why gold market in germany is thriving,neutral,0
2009-06-19,"august gold ends up $1.60, or 0.2%, at $936.20",positive,1
2010-04-14,gold futures at highest since early december,positive,1
2004-12-22,gold futures close narrowly lower,negative,-1
2018-11-23,Gold edges up ahead of G20 meeting; set to post second weekly gain,positive,1
2004-12-03,feb gold falls 10c to $452.20/oz in morning ny trade,negative,-1
2000-05-30,gold little changed; copper sinks,neutral,0
2013-01-07,gold swings between gains and drops on stronger dollar,negative,-1
2018-06-20,charts : gold gld etf update - breakdown ?,neutral,0
2011-12-19,"feb. gold down $1.20 to close at $1,596.70/oz",negative,-1
2005-01-19,philly gold and silver index falls 0.5% to end at 93.53,negative,-1
2016-10-19,"Dec. gold settles at $1,269.90/oz, up $7, or 0.6%",positive,1
2018-03-21,Gold Prices Hold onto Gains Ahead of FOMC Statement,positive,1
2017-08-10,"December gold trades 0.8% higher at $1,289/oz.",positive,1
2018-05-21,gold bulls push for the exits on strong dollar and lack of fear,positive,1
2010-04-14,"gold ends 0.5% higher, at $1,159.60 an ounce",positive,1
2015-03-26,"gold futures soar above $1,200, amid escalating conflict in yemen",negative,-1
2013-05-23,gold settles at its highest level in a week,positive,1
2017-08-18,"gold prices rise for a third day, buoyed by geopolitical worries",positive,1
2017-12-01,Gold holds near 3-1/2 week low as investors opt for riskier assets,negative,-1
2018-02-16,"gold ends higher, logs biggest weekly gain since 2016",positive,1
2017-06-16,"August gold rises 0.2% at $1,257.50/oz.",positive,1
2004-04-21,gold futures at seven-week low,negative,-1
2017-09-27,gold edges down as dollar gains on fed rate hike view,negative,-1
2018-09-20,van eck : tighter global monetary policy to support gold market,positive,1
2018-06-06,"Gold rebounds to Rs 31,860 on firm global cues",positive,1
2016-07-29,"december gold gains $4.10, or 0.3%, to $1,345.30/oz.",positive,1
2017-09-11,gold prices settle at lowest level in more than a week,negative,-1
2010-09-29,"dec. gold down 30 cents at $1,310/oz on globex",negative,-1
2016-09-13,"Dec. gold settles at $1,323.70/oz, down $1.90, or 0.1%",negative,-1
2017-02-22,"Gold jumps 0.3% from settlement price after Fed minutes to $1,237.40 an ounce",positive,1
2010-01-08,"gold lost 1% to $1,121.80 an ounce",negative,-1
2016-03-09,gold futures fall for a third straight session,negative,-1
2011-08-31,gold has best monthly performance since nov. 2009,positive,1
2017-10-02,gold prices settle at lowest level in nearly 8 weeks,negative,-1
2003-10-02,metals shares turn higher; gold futures still lower,positive,1
2012-06-18,gold declines first time in seven days after greek elections,positive,1
2017-10-26,gold gains on weaker dollar; markets brace for ecb decision,negative,-1
2017-12-12,gold holds modest loss after ppi report,negative,-1
2017-11-28,February gold contract notches highest settlement in over a week,positive,1
2017-07-27,"August gold climbs by $10.60, or 0.9%, to settle at $1,260/oz",positive,1
